trajectory_id,t,inventory_sim,inventory_obs,backlog_sim,backlog_obs,pipeline_len_sim,pipeline_len_obs
0,47,0.0,0.0,48.0,30.0,3.0,5.0
0,48,0.0,0.0,49.0,35.0,3.0,5.0
0,49,0.0,0.0,51.0,35.0,3.0,5.0
0,50,0.0,0.0,51.0,33.0,3.0,5.0
0,51,0.0,0.0,54.0,31.0,3.0,5.0
0,52,0.0,0.0,55.0,34.0,3.0,5.0
0,53,0.0,0.0,54.0,36.0,3.0,5.0
0,54,0.0,0.0,55.0,37.0,3.0,5.0
0,55,0.0,0.0,58.0,39.0,3.0,5.0
0,56,0.0,0.0,55.0,44.0,3.0,5.0
0,57,0.0,0.0,59.0,46.0,3.0,5.0
0,58,0.0,0.0,64.0,44.0,3.0,5.0
0,59,0.0,0.0,62.0,46.0,3.0,5.0
0,60,0.0,0.0,65.0,50.0,3.0,5.0
1,0,37.0,46.0,0.0,0.0,1.0,0.0
1,1,34.0,44.0,0.0,0.0,2.0,1.0
1,2,30.0,41.0,0.0,0.0,3.0,2.0
1,3,26.0,38.0,0.0,0.0,3.0,3.0
1,4,26.0,30.0,0.0,0.0,3.0,4.0
1,5,20.0,24.0,0.0,0.0,3.0,5.0
1,6,18.0,21.0,0.0,0.0,3.0,5.0
1,7,17.0,17.0,0.0,0.0,3.0,5.0
1,8,17.0,16.0,0.0,0.0,3.0,5.0
1,9,18.0,16.0,0.0,0.0,3.0,5.0
1,10,18.0,12.0,0.0,0.0,3.0,5.0
1,11,17.0,13.0,0.0,0.0,3.0,5.0
1,12,16.0,10.0,0.0,0.0,3.0,5.0
1,13,12.0,11.0,0.0,0.0,3.0,5.0
1,14,13.0,10.0,0.0,0.0,3.0,5.0
1,15,11.0,11.0,0.0,0.0,3.0,5.0
1,16,10.0,11.0,0.0,0.0,3.0,5.0
1,17,7.0,11.0,0.0,0.0,3.0,5.0
1,18,4.0,8.0,0.0,0.0,3.0,5.0
1,19,5.0,6.0,0.0,0.0,3.0,5.0
1,20,7.0,6.0,0.0,0.0,3.0,5.0
1,21,9.0,4.0,0.0,0.0,3.0,5.0
1,22,11.0,4.0,0.0,0.0,3.0,5.0
1,23,12.0,5.0,0.0,0.0,3.0,5.0
1,24,10.0,4.0,0.0,0.0,3.0,5.0
1,25,11.0,0.0,0.0,1.0,3.0,5.0
1,26,13.0,3.0,0.0,0.0,3.0,5.0
1,27,14.0,4.0,0.0,0.0,3.0,5.0
1,28,11.0,4.0,0.0,0.0,3.0,5.0
1,29,10.0,1.0,0.0,0.0,3.0,5.0
1,30,11.0,0.0,0.0,1.0,3.0,5.0
1,31,10.0,0.0,0.0,5.0,3.0,5.0
1,32,12.0,0.0,0.0,8.0,3.0,5.0
1,33,9.0,0.0,0.0,10.0,3.0,5.0
1,34,5.0,0.0,0.0,9.0,3.0,5.0
1,35,5.0,0.0,0.0,10.0,3.0,5.0
1,36,2.0,0.0,0.0,14.0,3.0,5.0
1,37,3.0,0.0,0.0,14.0,3.0,5.0
1,38,4.0,0.0,0.0,13.0,3.0,5.0
1,39,4.0,0.0,0.0,18.0,3.0,5.0
1,40,2.0,0.0,0.0,20.0,3.0,5.0
1,41,2.0,0.0,0.0,22.0,3.0,5.0
1,42,0.0,0.0,3.0,22.0,3.0,5.0
1,43,0.0,0.0,5.0,21.0,3.0,5.0
1,44,0.0,0.0,4.0,22.0,3.0,5.0
1,45,0.0,0.0,2.0,19.0,3.0,5.0
1,46,0.0,0.0,0.0,25.0,3.0,5.0
1,47,0.0,0.0,2.0,22.0,3.0,5.0
1,48,0.0,0.0,7.0,19.0,3.0,5.0
1,49,0.0,0.0,6.0,17.0,3.0,5.0
1,50,0.0,0.0,8.0,17.0,3.0,5.0
1,51,0.0,0.0,8.0,20.0,3.0,5.0
1,52,0.0,0.0,8.0,19.0,3.0,5.0
1,53,0.0,0.0,10.0,21.0,3.0,5.0
1,54,0.0,0.0,9.0,23.0,3.0,5.0
1,55,0.0,0.0,10.0,23.0,3.0,5.0
1,56,0.0,0.0,11.0,25.0,3.0,5.0
1,57,0.0,0.0,7.0,22.0,3.0,5.0
1,58,0.0,0.0,7.0,24.0,3.0,5.0
1,59,0.0,0.0,11.0,26.0,3.0,5.0
1,60,0.0,0.0,10.0,28.0,3.0,5.0
2,0,8.0,17.0,0.0,0.0,1.0,0.0
2,1,7.0,12.0,0.0,0.0,2.0,1.0
2,2,5.0,11.0,0.0,0.0,3.0,2.0
2,3,6.0,5.0,0.0,0.0,3.0,3.0
2,4,7.0,0.0,0.0,5.0,3.0,4.0
2,5,3.0,0.0,0.0,14.0,3.0,5.0
2,6,3.0,0.0,0.0,15.0,3.0,5.0
2,7,4.0,0.0,0.0,15.0,3.0,5.0
2,8,3.0,0.0,0.0,16.0,3.0,5.0
2,9,4.0,0.0,0.0,22.0,3.0,5.0
2,10,0.0,0.0,1.0,24.0,3.0,5.0
2,11,0.0,0.0,7.0,25.0,3.0,5.0
2,12,0.0,0.0,8.0,26.0,3.0,5.0
2,13,0.0,0.0,6.0,25.0,3.0,5.0
2,14,0.0,0.0,7.0,23.0,3.0,5.0
2,15,0.0,0.0,7.0,25.0,3.0,5.0
2,16,0.0,0.0,7.0,27.0,3.0,5.0
2,17,0.0,0.0,8.0,25.0,3.0,5.0
2,18,0.0,0.0,5.0,27.0,3.0,5.0
2,19,0.0,0.0,4.0,27.0,3.0,5.0
2,20,0.0,0.0,5.0,28.0,3.0,5.0
2,21,0.0,0.0,3.0,31.0,3.0,5.0
2,22,1.0,0.0,0.0,31.0,3.0,5.0
2,23,5.0,0.0,0.0,36.0,3.0,5.0
2,24,6.0,0.0,0.0,39.0,3.0,5.0
2,25,6.0,0.0,0.0,43.0,3.0,5.0
2,26,4.0,0.0,0.0,43.0,3.0,5.0
2,27,2.0,0.0,0.0,44.0,3.0,5.0
2,28,1.0,0.0,0.0,46.0,3.0,5.0
2,29,0.0,0.0,3.0,47.0,3.0,5.0
2,30,0.0,0.0,1.0,49.0,3.0,5.0
2,31,2.0,0.0,0.0,53.0,3.0,5.0
2,32,0.0,0.0,1.0,54.0,3.0,5.0
2,33,0.0,0.0,3.0,57.0,3.0,5.0
2,34,0.0,0.0,4.0,57.0,3.0,5.0
2,35,0.0,0.0,4.0,58.0,3.0,5.0
2,36,0.0,0.0,9.0,58.0,3.0,5.0
2,37,0.0,0.0,10.0,59.0,3.0,5.0
2,38,0.0,0.0,13.0,60.0,3.0,5.0
2,39,0.0,0.0,15.0,64.0,3.0,5.0
2,40,0.0,0.0,14.0,72.0,3.0,5.0
2,41,0.0,0.0,18.0,75.0,3.0,5.0
2,42,0.0,0.0,19.0,77.0,3.0,5.0
2,43,0.0,0.0,16.0,78.0,3.0,5.0
2,44,0.0,0.0,17.0,80.0,3.0,5.0
2,45,0.0,0.0,21.0,82.0,3.0,5.0
2,46,0.0,0.0,21.0,82.0,3.0,5.0
2,47,0.0,0.0,24.0,84.0,3.0,5.0
2,48,0.0,0.0,26.0,84.0,3.0,5.0
2,49,0.0,0.0,26.0,82.0,3.0,5.0
2,50,0.0,0.0,24.0,87.0,3.0,5.0
2,51,0.0,0.0,25.0,86.0,3.0,5.0
2,52,0.0,0.0,28.0,86.0,3.0,5.0
2,53,0.0,0.0,30.0,88.0,3.0,5.0
2,54,0.0,0.0,33.0,88.0,3.0,5.0
2,55,0.0,0.0,31.0,85.0,3.0,5.0
2,56,0.0,0.0,29.0,85.0,3.0,5.0
2,57,0.0,0.0,30.0,83.0,3.0,5.0
2,58,0.0,0.0,29.0,85.0,3.0,5.0
2,59,0.0,0.0,30.0,85.0,3.0,5.0
2,60,0.0,0.0,31.0,85.0,3.0,5.0
3,0,35.0,36.0,0.0,0.0,1.0,0.0
3,1,28.0,31.0,0.0,0.0,2.0,1.0
3,2,25.0,23.0,0.0,0.0,3.0,2.0
3,3,23.0,18.0,0.0,0.0,3.0,3.0
3,4,23.0,16.0,0.0,0.0,3.0,4.0
3,5,25.0,10.0,0.0,0.0,3.0,5.0
3,6,25.0,8.0,0.0,0.0,3.0,5.0
3,7,27.0,9.0,0.0,0.0,3.0,5.0
3,8,26.0,6.0,0.0,0.0,3.0,5.0
3,9,26.0,3.0,0.0,0.0,3.0,5.0
3,10,23.0,4.0,0.0,0.0,3.0,5.0
3,11,24.0,3.0,0.0,0.0,3.0,5.0
3,12,21.0,2.0,0.0,0.0,3.0,5.0
3,13,19.0,0.0,0.0,3.0,3.0,5.0
3,14,17.0,0.0,0.0,4.0,3.0,5.0
3,15,12.0,0.0,0.0,3.0,3.0,5.0
3,16,10.0,0.0,0.0,5.0,3.0,5.0
3,17,14.0,0.0,0.0,7.0,3.0,5.0
3,18,16.0,0.0,0.0,10.0,3.0,5.0
3,19,14.0,0.0,0.0,11.0,3.0,5.0
3,20,15.0,0.0,0.0,12.0,3.0,5.0
3,21,16.0,0.0,0.0,16.0,3.0,5.0
3,22,11.0,0.0,0.0,14.0,3.0,5.0
3,23,13.0,0.0,0.0,13.0,3.0,5.0
3,24,14.0,0.0,0.0,13.0,3.0,5.0
3,25,8.0,0.0,0.0,14.0,3.0,5.0
3,26,8.0,0.0,0.0,13.0,3.0,5.0
3,27,5.0,0.0,0.0,13.0,3.0,5.0
3,28,5.0,0.0,0.0,12.0,3.0,5.0
3,29,4.0,0.0,0.0,10.0,3.0,5.0
3,30,5.0,0.0,0.0,12.0,3.0,5.0
3,31,0.0,0.0,0.0,11.0,3.0,5.0
3,32,0.0,0.0,4.0,13.0,3.0,5.0
3,33,0.0,0.0,11.0,16.0,3.0,5.0
3,34,0.0,0.0,13.0,19.0,3.0,5.0
3,35,0.0,0.0,16.0,20.0,3.0,5.0
3,36,0.0,0.0,19.0,24.0,3.0,5.0
3,37,0.0,0.0,21.0,22.0,3.0,5.0
3,38,0.0,0.0,20.0,24.0,3.0,5.0
3,39,0.0,0.0,21.0,22.0,3.0,5.0
3,40,0.0,0.0,22.0,23.0,3.0,5.0
3,41,0.0,0.0,21.0,26.0,3.0,5.0
3,42,0.0,0.0,24.0,26.0,3.0,5.0
3,43,0.0,0.0,24.0,27.0,3.0,5.0
3,44,0.0,0.0,25.0,26.0,3.0,5.0
3,45,0.0,0.0,23.0,26.0,3.0,5.0
3,46,0.0,0.0,24.0,30.0,3.0,5.0
3,47,0.0,0.0,25.0,27.0,3.0,5.0
3,48,0.0,0.0,24.0,25.0,3.0,5.0
3,49,0.0,0.0,27.0,26.0,3.0,5.0
3,50,0.0,0.0,28.0,27.0,3.0,5.0
3,51,0.0,0.0,28.0,27.0,3.0,5.0
3,52,0.0,0.0,30.0,28.0,3.0,5.0
3,53,0.0,0.0,32.0,31.0,3.0,5.0
3,54,0.0,0.0,35.0,36.0,3.0,5.0
3,55,0.0,0.0,34.0,36.0,3.0,5.0
3,56,0.0,0.0,36.0,37.0,3.0,5.0
3,57,0.0,0.0,35.0,36.0,3.0,5.0
3,58,0.0,0.0,37.0,35.0,3.0,5.0
3,59,0.0,0.0,36.0,36.0,3.0,5.0
3,60,0.0,0.0,33.0,39.0,3.0,5.0
4,0,18.0,23.0,0.0,0.0,1.0,0.0
4,1,12.0,18.0,0.0,0.0,2.0,1.0
4,2,9.0,14.0,0.0,0.0,3.0,2.0
4,3,10.0,11.0,0.0,0.0,3.0,3.0
4,4,14.0,7.0,0.0,0.0,3.0,4.0
4,5,12.0,5.0,0.0,0.0,3.0,5.0
4,6,14.0,6.0,0.0,0.0,3.0,5.0
4,7,13.0,5.0,0.0,0.0,3.0,5.0
4,8,14.0,6.0,0.0,0.0,3.0,5.0
4,9,13.0,2.0,0.0,0.0,3.0,5.0
4,10,15.0,2.0,0.0,0.0,3.0,5.0
4,11,13.0,3.0,0.0,0.0,3.0,5.0
4,12,12.0,5.0,0.0,0.0,3.0,5.0
4,13,12.0,1.0,0.0,0.0,3.0,5.0
4,14,10.0,1.0,0.0,0.0,3.0,5.0
4,15,8.0,2.0,0.0,0.0,3.0,5.0
4,16,8.0,1.0,0.0,0.0,3.0,5.0
4,17,2.0,1.0,0.0,0.0,3.0,5.0
4,18,0.0,0.0,0.0,3.0,3.0,5.0
4,19,0.0,0.0,1.0,0.0,3.0,5.0
4,20,0.0,0.0,1.0,1.0,3.0,5.0
4,21,0.0,0.0,4.0,1.0,3.0,5.0
4,22,0.0,0.0,5.0,5.0,3.0,5.0
4,23,0.0,0.0,7.0,9.0,3.0,5.0
4,24,0.0,0.0,10.0,8.0,3.0,5.0
4,25,0.0,0.0,9.0,9.0,3.0,5.0
4,26,0.0,0.0,12.0,9.0,3.0,5.0
4,27,0.0,0.0,14.0,11.0,3.0,5.0
4,28,0.0,0.0,15.0,10.0,3.0,5.0
4,29,0.0,0.0,20.0,7.0,3.0,5.0
4,30,0.0,0.0,22.0,6.0,3.0,5.0
4,31,0.0,0.0,23.0,6.0,3.0,5.0
4,32,0.0,0.0,19.0,12.0,3.0,5.0
4,33,0.0,0.0,20.0,11.0,3.0,5.0
4,34,0.0,0.0,18.0,11.0,3.0,5.0
4,35,0.0,0.0,22.0,15.0,3.0,5.0
4,36,0.0,0.0,22.0,20.0,3.0,5.0
4,37,0.0,0.0,24.0,26.0,3.0,5.0
4,38,0.0,0.0,23.0,28.0,3.0,5.0
4,39,0.0,0.0,28.0,26.0,3.0,5.0
4,40,0.0,0.0,31.0,30.0,3.0,5.0
4,41,0.0,0.0,36.0,33.0,3.0,5.0
4,42,0.0,0.0,38.0,33.0,3.0,5.0
4,43,0.0,0.0,39.0,36.0,3.0,5.0
4,44,0.0,0.0,42.0,39.0,3.0,5.0
4,45,0.0,0.0,42.0,39.0,3.0,5.0
4,46,0.0,0.0,43.0,38.0,3.0,5.0
4,47,0.0,0.0,44.0,41.0,3.0,5.0
4,48,0.0,0.0,44.0,43.0,3.0,5.0
4,49,0.0,0.0,46.0,47.0,3.0,5.0
4,50,0.0,0.0,47.0,47.0,3.0,5.0
4,51,0.0,0.0,45.0,47.0,3.0,5.0
4,52,0.0,0.0,48.0,46.0,3.0,5.0
4,53,0.0,0.0,47.0,46.0,3.0,5.0
4,54,0.0,0.0,48.0,45.0,3.0,5.0
4,55,0.0,0.0,49.0,43.0,3.0,5.0
4,56,0.0,0.0,49.0,43.0,3.0,5.0
4,57,0.0,0.0,49.0,43.0,3.0,5.0
4,58,0.0,0.0,47.0,46.0,3.0,5.0
4,59,0.0,0.0,47.0,45.0,3.0,5.0
4,60,0.0,0.0,48.0,43.0,3.0,5.0
5,0,23.0,32.0,0.0,0.0,1.0,0.0
5,1,22.0,28.0,0.0,0.0,2.0,1.0
5,2,15.0,23.0,0.0,0.0,3.0,2.0
5,3,11.0,20.0,0.0,0.0,3.0,3.0
5,4,9.0,14.0,0.0,0.0,3.0,4.0
5,5,10.0,7.0,0.0,0.0,3.0,5.0
5,6,4.0,4.0,0.0,0.0,3.0,5.0
5,7,2.0,2.0,0.0,0.0,3.0,5.0
5,8,4.0,0.0,0.0,1.0,3.0,5.0
5,9,0.0,0.0,0.0,4.0,3.0,5.0
5,10,0.0,0.0,0.0,6.0,3.0,5.0
5,11,0.0,0.0,0.0,4.0,3.0,5.0
5,12,0.0,0.0,4.0,1.0,3.0,5.0
5,13,0.0,2.0,7.0,0.0,3.0,5.0
5,14,0.0,1.0,11.0,0.0,3.0,5.0
5,15,0.0,0.0,11.0,3.0,3.0,5.0
5,16,0.0,0.0,9.0,7.0,3.0,5.0
5,17,0.0,0.0,6.0,10.0,3.0,5.0
5,18,0.0,0.0,10.0,13.0,3.0,5.0
5,19,0.0,0.0,11.0,17.0,3.0,5.0
5,20,0.0,0.0,14.0,18.0,3.0,5.0
5,21,0.0,0.0,17.0,16.0,3.0,5.0
5,22,0.0,0.0,16.0,16.0,3.0,5.0
5,23,0.0,0.0,15.0,18.0,3.0,5.0
5,24,0.0,0.0,18.0,16.0,3.0,5.0
5,25,0.0,0.0,18.0,14.0,3.0,5.0
5,26,0.0,0.0,17.0,13.0,3.0,5.0
5,27,0.0,0.0,14.0,11.0,3.0,5.0
5,28,0.0,0.0,13.0,8.0,3.0,5.0
5,29,0.0,0.0,13.0,6.0,3.0,5.0
5,30,0.0,0.0,18.0,5.0,3.0,5.0
5,31,0.0,0.0,18.0,4.0,3.0,5.0
5,32,0.0,0.0,17.0,8.0,3.0,5.0
5,33,0.0,0.0,15.0,12.0,3.0,5.0
5,34,0.0,0.0,16.0,15.0,3.0,5.0
5,35,0.0,0.0,17.0,12.0,3.0,5.0
5,36,0.0,0.0,18.0,14.0,3.0,5.0
5,37,0.0,0.0,21.0,17.0,3.0,5.0
5,38,0.0,0.0,21.0,18.0,3.0,5.0
5,39,0.0,0.0,21.0,19.0,3.0,5.0
5,40,0.0,0.0,23.0,25.0,3.0,5.0
5,41,0.0,0.0,22.0,27.0,3.0,5.0
5,42,0.0,0.0,18.0,34.0,3.0,5.0
5,43,0.0,0.0,20.0,35.0,3.0,5.0
5,44,0.0,0.0,19.0,39.0,3.0,5.0
5,45,0.0,0.0,22.0,37.0,3.0,5.0
5,46,0.0,0.0,27.0,36.0,3.0,5.0
5,47,0.0,0.0,27.0,37.0,3.0,5.0
5,48,0.0,0.0,27.0,41.0,3.0,5.0
5,49,0.0,0.0,26.0,41.0,3.0,5.0
5,50,0.0,0.0,30.0,42.0,3.0,5.0
5,51,0.0,0.0,29.0,47.0,3.0,5.0
5,52,0.0,0.0,29.0,47.0,3.0,5.0
5,53,0.0,0.0,32.0,49.0,3.0,5.0
5,54,0.0,0.0,34.0,55.0,3.0,5.0
5,55,0.0,0.0,36.0,53.0,3.0,5.0
5,56,0.0,0.0,36.0,55.0,3.0,5.0
5,57,0.0,0.0,36.0,56.0,3.0,5.0
5,58,0.0,0.0,36.0,59.0,3.0,5.0
5,59,0.0,0.0,42.0,63.0,3.0,5.0
5,60,0.0,0.0,44.0,63.0,3.0,5.0
6,0,18.0,21.0,0.0,0.0,1.0,0.0
6,1,17.0,16.0,0.0,0.0,2.0,1.0
6,2,12.0,9.0,0.0,0.0,3.0,2.0
6,3,10.0,2.0,0.0,0.0,3.0,3.0
6,4,8.0,0.0,0.0,2.0,3.0,4.0
6,5,10.0,0.0,0.0,8.0,3.0,5.0
6,6,12.0,0.0,0.0,7.0,3.0,5.0
6,7,11.0,0.0,0.0,8.0,3.0,5.0
6,8,10.0,0.0,0.0,9.0,3.0,5.0
6,9,9.0,0.0,0.0,16.0,3.0,5.0
6,10,7.0,0.0,0.0,21.0,3.0,5.0
6,11,7.0,0.0,0.0,20.0,3.0,5.0
6,12,3.0,0.0,0.0,18.0,3.0,5.0
6,13,0.0,0.0,0.0,17.0,3.0,5.0
6,14,0.0,0.0,1.0,19.0,3.0,5.0
6,15,0.0,0.0,5.0,17.0,3.0,5.0
6,16,0.0,0.0,6.0,15.0,3.0,5.0
6,17,0.0,0.0,8.0,18.0,3.0,5.0
6,18,0.0,0.0,8.0,20.0,3.0,5.0
6,19,0.0,0.0,8.0,18.0,3.0,5.0
6,20,0.0,0.0,9.0,20.0,3.0,5.0
6,21,0.0,0.0,11.0,18.0,3.0,5.0
6,22,0.0,0.0,13.0,20.0,3.0,5.0
6,23,0.0,0.0,15.0,22.0,3.0,5.0
6,24,0.0,0.0,16.0,21.0,3.0,5.0
6,25,0.0,0.0,15.0,19.0,3.0,5.0
6,26,0.0,0.0,15.0,16.0,3.0,5.0
6,27,0.0,0.0,14.0,16.0,3.0,5.0
6,28,0.0,0.0,15.0,16.0,3.0,5.0
6,29,0.0,0.0,15.0,13.0,3.0,5.0
6,30,0.0,0.0,16.0,15.0,3.0,5.0
6,31,0.0,0.0,22.0,15.0,3.0,5.0
6,32,0.0,0.0,22.0,16.0,3.0,5.0
6,33,0.0,0.0,26.0,17.0,3.0,5.0
6,34,0.0,0.0,30.0,18.0,3.0,5.0
6,35,0.0,0.0,29.0,17.0,3.0,5.0
6,36,0.0,0.0,26.0,14.0,3.0,5.0
6,37,0.0,0.0,27.0,17.0,3.0,5.0
6,38,0.0,0.0,30.0,16.0,3.0,5.0
6,39,0.0,0.0,29.0,14.0,3.0,5.0
6,40,0.0,0.0,31.0,13.0,3.0,5.0
6,41,0.0,0.0,33.0,14.0,3.0,5.0
6,42,0.0,0.0,33.0,17.0,3.0,5.0
6,43,0.0,0.0,32.0,16.0,3.0,5.0
6,44,0.0,0.0,31.0,17.0,3.0,5.0
6,45,0.0,0.0,34.0,17.0,3.0,5.0
6,46,0.0,0.0,33.0,17.0,3.0,5.0
6,47,0.0,0.0,34.0,16.0,3.0,5.0
6,48,0.0,0.0,36.0,14.0,3.0,5.0
6,49,0.0,0.0,35.0,13.0,3.0,5.0
6,50,0.0,0.0,36.0,17.0,3.0,5.0
6,51,0.0,0.0,32.0,16.0,3.0,5.0
6,52,0.0,0.0,32.0,14.0,3.0,5.0
6,53,0.0,0.0,34.0,14.0,3.0,5.0
6,54,0.0,0.0,36.0,12.0,3.0,5.0
6,55,0.0,0.0,40.0,13.0,3.0,5.0
6,56,0.0,0.0,38.0,13.0,3.0,5.0
6,57,0.0,0.0,41.0,12.0,3.0,5.0
6,58,0.0,0.0,41.0,14.0,3.0,5.0
6,59,0.0,0.0,40.0,16.0,3.0,5.0
6,60,0.0,0.0,40.0,17.0,3.0,5.0
7,0,22.0,23.0,0.0,0.0,1.0,0.0
7,1,13.0,20.0,0.0,0.0,2.0,1.0
7,2,10.0,12.0,0.0,0.0,3.0,2.0
7,3,7.0,8.0,0.0,0.0,3.0,3.0
7,4,5.0,2.0,0.0,0.0,3.0,4.0
7,5,4.0,0.0,0.0,4.0,3.0,5.0
7,6,3.0,0.0,0.0,2.0,3.0,5.0
7,7,0.0,0.0,0.0,4.0,3.0,5.0
7,8,2.0,0.0,0.0,7.0,3.0,5.0
7,9,0.0,0.0,0.0,6.0,3.0,5.0
7,10,0.0,0.0,0.0,8.0,3.0,5.0
7,11,0.0,0.0,0.0,8.0,3.0,5.0
7,12,0.0,0.0,2.0,11.0,3.0,5.0
7,13,0.0,0.0,3.0,11.0,3.0,5.0
7,14,0.0,0.0,0.0,14.0,3.0,5.0
7,15,0.0,0.0,4.0,12.0,3.0,5.0
7,16,0.0,0.0,8.0,13.0,3.0,5.0
7,17,0.0,0.0,7.0,16.0,3.0,5.0
7,18,0.0,0.0,7.0,19.0,3.0,5.0
7,19,0.0,0.0,9.0,20.0,3.0,5.0
7,20,0.0,0.0,8.0,19.0,3.0,5.0
7,21,0.0,0.0,9.0,20.0,3.0,5.0
7,22,0.0,0.0,9.0,19.0,3.0,5.0
7,23,0.0,0.0,10.0,28.0,3.0,5.0
7,24,0.0,0.0,14.0,28.0,3.0,5.0
7,25,0.0,0.0,17.0,28.0,3.0,5.0
7,26,0.0,0.0,16.0,27.0,3.0,5.0
7,27,0.0,0.0,15.0,31.0,3.0,5.0
7,28,0.0,0.0,15.0,29.0,3.0,5.0
7,29,0.0,0.0,15.0,30.0,3.0,5.0
7,30,0.0,0.0,16.0,35.0,3.0,5.0
7,31,0.0,0.0,20.0,36.0,3.0,5.0
7,32,0.0,0.0,20.0,37.0,3.0,5.0
7,33,0.0,0.0,22.0,39.0,3.0,5.0
7,34,0.0,0.0,20.0,37.0,3.0,5.0
7,35,0.0,0.0,20.0,36.0,3.0,5.0
7,36,0.0,0.0,22.0,35.0,3.0,5.0
7,37,0.0,0.0,21.0,36.0,3.0,5.0
7,38,0.0,0.0,20.0,34.0,3.0,5.0
7,39,0.0,0.0,22.0,37.0,3.0,5.0
7,40,0.0,0.0,22.0,37.0,3.0,5.0
7,41,0.0,0.0,22.0,40.0,3.0,5.0
7,42,0.0,0.0,23.0,38.0,3.0,5.0
7,43,0.0,0.0,25.0,37.0,3.0,5.0
7,44,0.0,0.0,27.0,42.0,3.0,5.0
7,45,0.0,0.0,26.0,42.0,3.0,5.0
7,46,0.0,0.0,29.0,41.0,3.0,5.0
7,47,0.0,0.0,28.0,47.0,3.0,5.0
7,48,0.0,0.0,30.0,45.0,3.0,5.0
7,49,0.0,0.0,29.0,44.0,3.0,5.0
7,50,0.0,0.0,28.0,46.0,3.0,5.0
7,51,0.0,0.0,26.0,46.0,3.0,5.0
7,52,0.0,0.0,28.0,48.0,3.0,5.0
7,53,0.0,0.0,30.0,46.0,3.0,5.0
7,54,0.0,0.0,31.0,46.0,3.0,5.0
7,55,0.0,0.0,33.0,48.0,3.0,5.0
7,56,0.0,0.0,31.0,51.0,3.0,5.0
7,57,0.0,0.0,34.0,58.0,3.0,5.0
7,58,0.0,0.0,33.0,56.0,3.0,5.0
7,59,0.0,0.0,31.0,57.0,3.0,5.0
7,60,0.0,0.0,33.0,58.0,3.0,5.0
8,0,31.0,36.0,0.0,0.0,1.0,0.0
8,1,25.0,29.0,0.0,0.0,2.0,1.0
8,2,19.0,19.0,0.0,0.0,3.0,2.0
8,3,19.0,16.0,0.0,0.0,3.0,3.0
8,4,19.0,9.0,0.0,0.0,3.0,4.0
8,5,19.0,1.0,0.0,0.0,3.0,5.0
8,6,16.0,0.0,0.0,3.0,3.0,5.0
